CobaltStrike,5.44.42.48,80,,Cobalt Strike Beacon,GLOBAL INTERNET SOLUTIONS LLC,4SER-1666967953.4server.su
CobaltStrike,185.239.70.229,443,,Cobalt Strike Beacon,Cluster Logic Inc,freeloop.ml;185.239.70.229.16clouds.com
CobaltStrike,205.185.119.170,443,,Cobalt Strike Beacon,FranTech Solutions,aheryngrant.com;web-d2.aheryngrant.com
CobaltStrike,42.193.145.27,80,,Cobalt Strike Beacon,Tencent cloud computing (Beijing) Co., Ltd.,
CobaltStrike,5.61.36.132,80,,Cobalt Strike Beacon,IROKO Networks Corporation,octopus-design.com.ua
CobaltStrike,39.99.173.55,8443,baidu.com,Cobalt Strike Beacon,Aliyun Computing Co., LTD,
CobaltStrike,148.70.167.199,9443,Let's Encrypt Authority X3,Cobalt Strike Beacon,Tencent Cloud Computing (Beijing) Co., Ltd,c.bywe.xyz
CobaltStrike,124.222.95.72,8443,360,Cobalt Strike Beacon,Tencent cloud computing (Beijing) Co., Ltd.,
CobaltStrike,199.255.99.112,23424,,Cobalt Strike Beacon,CloudCone, LLC,
CobaltStrike,3.120.38.93,80,,Cobalt Strike Beacon,A100 ROW GmbH,ec2-3-120-38-93.eu-central-1.compute.amazonaws.com
CobaltStrike,77.73.134.27,443,R3,Cobalt Strike Beacon,LetHost LLC,microcloud.online
CobaltStrike,43.138.191.77,80,,Cobalt Strike Beacon,Tencent Cloud Computing (Beijing) Co., Ltd,
CobaltStrike,77.73.133.80,80,,Cobalt Strike Beacon,LetHost LLC,
CobaltStrike,185.81.68.45,80,,Cobalt Strike Beacon,Transcom LLC,
CobaltStrike,149.248.20.183,443,,Cobalt Strike Beacon,Vultr Holdings, LLC,149.248.20.183.vultrusercontent.com
CobaltStrike,137.184.177.241,8080,,Cobalt Strike Beacon,DigitalOcean, LLC,
CobaltStrike,152.136.239.124,81,,Cobalt Strike Beacon,Tencent Cloud Computing (Beijing) Co., Ltd,
CobaltStrike,185.216.71.178,4433,R3,Cobalt Strike Beacon,Des Capital B.V.,anysearch.live
CobaltStrike,2.56.173.252,8091,,Cobalt Strike Beacon,Dedipath,
CobaltStrike,23.227.198.232,443,,Cobalt Strike Beacon,HIVELOCITY, Inc.,23-227-198-232.static.hvvc.us
CobaltStrike,13.113.93.237,443,R3,Cobalt Strike Beacon,Amazon Data Services Japan,mail.abeshinzo.net;ec2-13-113-93-237.ap-northeast-1.compute.amazonaws.com
CobaltStrike,119.91.194.71,443,cart.org,Cobalt Strike Beacon,Tencent cloud computing (Beijing) Co., Ltd.,
CobaltStrike,1.12.42.153,8888,,Cobalt Strike Beacon,Tencent cloud computing (Beijing) Co., Ltd.,
CobaltStrike,198.98.58.156,443,,Cobalt Strike Beacon,FranTech Solutions,bbcinternationalnews.com
CobaltStrike,101.43.208.122,80,,Cobalt Strike Beacon,Tencent Cloud Computing (Beijing) Co., Ltd,
CobaltStrike,8.218.110.254,8443,,Cobalt Strike Beacon,Alibaba.com Singapore E-Commerce Private Limited,
CobaltStrike,106.12.127.241,8099,,Cobalt Strike Beacon,Beijing Baidu Netcom Science and Technology Co., Ltd.,
CobaltStrike,43.135.92.46,80,,Cobalt Strike Beacon,Asia Pacific Network Information Center, Pty. Ltd.,
CobaltStrike,39.104.165.139,443,,Cobalt Strike Beacon,Aliyun Computing Co., LTD,
CobaltStrike,47.103.15.237,4443,,Cobalt Strike Beacon,Aliyun Computing Co., LTD,
CobaltStrike,121.4.79.90,80,,Cobalt Strike Beacon,Tencent cloud computing (Beijing) Co., Ltd.,
CobaltStrike,103.122.244.68,80,,Cobalt Strike Beacon,HK DINGDIAN NETWORK LIMITED,
CobaltStrike,120.76.205.155,8080,,Cobalt Strike Beacon,Aliyun Computing Co., LTD,
CobaltStrike,192.241.137.49,80,,Cobalt Strike Beacon,DigitalOcean, LLC,
CobaltStrike,106.12.127.241,82,,Cobalt Strike Beacon,Beijing Baidu Netcom Science and Technology Co., Ltd.,
CobaltStrike,43.143.130.95,9999,,Cobalt Strike Beacon,Tencent Cloud Computing (Beijing) Co., Ltd,
CobaltStrike,182.61.23.194,443,google.com,Cobalt Strike Beacon,Beijing Baidu Netcom Science and Technology Co., Ltd.,
CobaltStrike,104.243.41.123,443,,Cobalt Strike Beacon,ReliableSite.Net LLC,
CobaltStrike,84.32.128.36,8080,,Cobalt Strike Beacon,UAB Nacionalinis Telekomunikaciju Tinklas,
CobaltStrike,106.54.168.113,443,,Cobalt Strike Beacon,Tencent cloud computing (Beijing) Co., Ltd.,
CobaltStrike,182.61.139.132,80,,Cobalt Strike Beacon,Beijing Baidu Netcom Science and Technology Co., Ltd.,
CobaltStrike,124.223.76.155,80,,Cobalt Strike Beacon,Tencent cloud computing (Beijing) Co., Ltd.,
CobaltStrike,185.130.45.159,80,,Cobalt Strike Beacon,Privex Inc.,185.130.45.159.static.privex.cc
CobaltStrike,43.138.52.197,80,,Cobalt Strike Beacon,Tencent Cloud Computing (Beijing) Co., Ltd,
